cu_id;kategorie;curve_skewness;area_total;slope_rising;slope_falling;global_max_x;global_min_x;Top1_Minima_Druck;Peak_to_Minima_Diff;cluster;PCA1;PCA2
1;1;1.4642854496453868;748.1808964201873;168.87697232395163;-130.55021161529552;0.5735000371932983;0.432625025510788;-2.445257186889648;576.4611873626709;0;-0.996590775181134;-0.9791755520646676
2;1;1.4110150122088034;747.7972398142747;305.44933963005315;-62.50478450162401;0.6410625576972961;0.4829375147819519;-2.438138961791992;556.2660808563232;1;1.9796883118893212;-1.3202368788332692
3;1;1.3913086925480505;759.9991267562448;92.75754511750468;-78.92549613868698;0.6238125562667847;0.452750027179718;-2.186865091323853;542.9043943881989;1;1.408384975460247;0.04456016004098424
4;1;1.4584931101284504;754.4658533944347;223.15024789570018;-111.27672290983618;0.5735000371932983;0.432625025510788;-2.526405096054077;583.1922376155853;0;-1.082958249590234;-1.1605971968856392
5;1;1.3582300709348758;710.117562622037;141.9399184340736;-55.88536971111414;0.6338750123977661;0.5030625462532043;-3.838296175003052;513.6171352863312;1;2.915405145452773;-2.0004020927170583
6;1;1.4066344719922454;743.7978104561155;30.082368429236336;-35.159227821183386;0.6036875247955322;0.452750027179718;-2.355567216873169;533.1631233692169;1;1.1754450089549981;0.05511809633368549
7;1;1.413554113251867;753.3808456877707;213.8462568230754;-163.01896091126105;0.5634375214576721;0.432625025510788;-2.290079593658447;551.0291543006897;0;-1.1344919897476566;-0.9749506309744013
8;1;1.3952618411094495;744.1651260055334;53.06178684827609;-104.51931927899965;0.6439375281333923;0.4829375147819519;-2.299333095550537;546.7895674705505;1;2.4141255212840433;-0.28501209381764325
9;1;1.3960058766930918;733.7444028663542;316.28797841847916;-125.08160838896428;0.5895000100135803;0.4829375147819519;-3.592716932296753;551.6684005260468;0;0.4210757015979588;-2.7704214310002704
10;1;1.4149714192219978;769.1384292087795;120.19400734377534;-131.93359375;0.5578750371932983;0.4125000238418579;-2.131342887878418;550.1728467941284;0;-1.4006736345226363;-0.1288598928611752
