cu_id;kategorie;area_total;slope_rising;global_max_x;global_min_x;Top1_Minima_Druck;Top1_Minima_Position_x;cluster;PCA1;PCA2
1;1;499.3834602522287;139.31912470820095;1.18081259727478;14.77343845367432;-12.51357650756836;14.77343845367432;2;0.5156060804307675;0.309492394597117
2;1;512.8641824871;213.24628494429373;1.18081259727478;14.74831295013428;-11.48237705230713;14.74831295013428;2;0.6222079527786967;0.05323570489078896
3;1;496.70088294119375;106.53799046655504;1.204812526702881;14.74831295013428;-11.80859088897705;14.74831295013428;2;1.492983573705193;0.1686109208618677
4;1;499.456320434214;53.223652732436726;1.201125025749207;14.77343845367432;-13.02900123596191;14.77343845367432;2;1.1888393519576896;0.4111928087590527
5;1;508.3451178425571;272.7630196638478;1.189625024795532;14.74831295013428;-11.56051349639893;14.74831295013428;2;1.2015704014653343;0.11316031172474389
6;1;500.9658576543261;104.10063471198926;1.194187521934509;14.72318840026855;-12.30334186553955;14.72318840026855;2;1.1050876380360346;0.22052325527155242
7;1;510.0441566816122;155.4404164967286;1.173250079154968;14.74831295013428;-12.56788730621338;14.74831295013428;2;0.3229110844421927;0.26400248076479266
8;1;514.0167921744837;82.25416735653442;1.204625010490417;14.77343845367432;-11.97397518157959;14.77343845367432;2;1.4273922813287447;0.16812055861323466
9;1;516.1400366113097;385.0712563850935;1.183250069618225;14.79856300354004;-11.32680320739746;14.79856300354004;2;0.7162180350118549;0.08426479363326381
10;1;497.7185059953937;193.26435132236043;1.205937504768372;14.77343845367432;-12.95016384124756;14.77343845367432;2;1.7153727528907328;0.44443114080505436
11;1;510.3681460541234;42.96769357050449;1.205937504768372;14.74831295013428;-11.27669715881348;14.74831295013428;2;1.5677877669661102;0.017636264167365162
12;1;501.7853034588129;270.3617843239005;1.20187509059906;14.77343845367432;-12.21994972229004;14.77343845367432;2;1.4106051147127987;0.27919749095991
13;1;503.98666496435595;223.4861080794537;1.178625106811523;14.77343845367432;-13.2402868270874;14.77343845367432;2;0.4651861309461537;0.45139985022244333
14;1;503.9452454951949;240.50391496734;1.189937591552734;14.69806289672852;-11.377610206604;14.69806289672852;2;1.0893494607091707;0.02012196033293811
15;1;507.93290804816945;170.6427788558645;1.205937504768372;14.79856300354004;-12.22100067138672;14.79856300354004;2;1.7378220708815242;0.29598221629113086
16;1;493.7409897550869;175.23673260520178;1.18081259727478;14.74831295013428;-12.95436859130859;14.74831295013428;2;0.6539022668766485;0.40286885666063793
17;1;506.86360686161527;194.96247936079993;1.18081259727478;14.74831295013428;-11.57978534698486;14.74831295013428;2;0.740338089776641;0.09616655696029847
18;1;497.4459448920609;307.3566318773924;1.189562559127808;14.79856300354004;-12.03319072723389;14.79856300354004;2;1.0268701050883446;0.2840215509219348
19;1;503.75848143113205;118.00588608022733;1.201250076293945;14.77343845367432;-11.86570453643799;14.77343845367432;2;1.360941405070707;0.1832692231556043
20;1;490.20875207167785;139.7440287378577;1.205562591552734;14.69806289672852;-12.04195117950439;14.69806289672852;2;1.687789648358285;0.19853968486301216
21;3;494.00906472499685;199.21888891737;1.183500051498413;14.77343845367432;-11.93473148345947;14.77343845367432;2;0.7062677969520604;0.22683598614133665
22;3;480.04169326809637;25.91179666259912;1.205937504768372;14.77343845367432;-13.12991428375244;14.77343845367432;2;1.6022670829207992;0.5105889721375286
23;3;493.2624111060764;128.93060828823008;1.189437508583069;14.77343845367432;-12.03739547729492;14.77343845367432;2;0.8420964759687651;0.24030701352701145
24;3;498.8632507733939;134.28888032946895;1.205937504768372;14.74831295013428;-11.76163768768311;14.74831295013428;2;1.5821460495429527;0.16032926946314083
25;3;486.403939171278;187.6986757637676;1.205937504768372;14.74831295013428;-13.38675022125244;14.74831295013428;2;1.6615048712560263;0.5337274128906533
26;3;518.4915686616063;1049.8871956130408;1.130562543869019;14.74831295013428;-11.78301239013672;14.74831295013428;1;-5.764175419488293;-0.280204791500441
27;3;512.5497405923237;1547.2077069795312;1.130562543869019;14.74831295013428;-12.11202907562256;14.74831295013428;1;-6.324879118271248;-0.20112274150771986
28;3;507.3535337621927;1477.3698029745728;1.130562543869019;14.72318840026855;-13.43580532073975;14.72318840026855;1;-5.7078283147307225;0.10084500957771797
29;3;524.58927447937;938.9668235487821;1.130562543869019;14.77343845367432;-11.46976280212402;14.77343845367432;1;-5.729398374591395;-0.3376114825372137
30;3;520.0904594024479;1127.18385997836;1.130562543869019;14.72318840026855;-11.61097049713135;14.72318840026855;1;-5.4031159151504795;-0.3054219173821301
31;3;513.6993052780718;186.3116315690162;1.140375018119812;14.72318840026855;-12.79318904876709;14.72318840026855;1;-4.59348093618008;-0.08700177739418478
32;3;505.124414338988;788.5302234332585;1.141499996185303;14.74831295013428;-11.92176628112793;14.74831295013428;1;-5.174237949996998;-0.2062331399091939
33;3;519.8943799581007;1478.3917489359205;1.130562543869019;14.74831295013428;-12.00936412811279;14.74831295013428;1;-6.079295269487938;-0.22838854539310854
