cu_id;kategorie;curve_skewness;area_total;slope_rising;global_max_x;global_min_x;Top1_Minima_Druck;cluster;PCA1;PCA2
1;1;0.9084563330045893;376.3958416951905;108.47924735839032;1.199812531471252;4.999937534332275;-6.420981407165527;1;1.495127205233718;-0.8019207956475335
2;1;0.9492961599580659;384.10033241831576;155.62401277214585;1.198062539100647;4.999937534332275;-5.454953670501709;1;1.2414185407986875;-0.5603245892472093
3;1;0.9410363156949646;374.64862318321985;100.2891818194636;1.206500053405762;4.994937896728516;-7.224777698516846;1;1.679141366981739;-0.8136846727078361
4;1;0.9418811247416682;380.96015354867257;37.9756915923048;1.198062539100647;4.999937534332275;-5.621389389038086;1;1.2410126239482087;-0.5832848690629207
5;1;0.9497300072155911;379.7740544091438;60.12478582743077;1.206500053405762;4.999937534332275;-6.144172668457031;1;1.703176579498669;-0.6354881376085112
6;1;0.9376824409329714;378.58517248327877;101.32722982805367;1.198062539100647;4.999937534332275;-6.287482261657715;1;1.1348336777119903;-0.6794013453030293
7;1;0.9155225831053627;379.8373752051307;77.20075163537004;1.206500053405762;4.999937534332275;-5.987197399139404;1;1.6917525408298928;-0.6130736554572539
8;1;0.9371615318680837;377.2264115491744;52.90693955868357;1.206500053405762;4.999937534332275;-6.384891033172607;1;1.7881628864308277;-0.7292707665452197
9;1;0.9276294093109569;380.1624652551713;95.3268059735207;1.198062539100647;4.999937534332275;-6.035901546478271;1;1.1632149765104507;-0.6427127757959682
10;1;0.9548962716751944;378.1407820563495;89.34829183147878;1.198062539100647;4.994937896728516;-6.460575103759766;1;1.2513496993854185;-0.7118898097652646
11;1;0.9687547714523044;379.5398968748785;26.195706705816843;1.198062539100647;4.994937896728516;-6.206191539764404;1;1.1729593110157308;-0.6306662675275877
12;1;0.9403975460115459;380.30865369627594;140.6970994221413;1.198062539100647;4.994937896728516;-5.916769027709961;1;1.4027727175157523;-0.6956994145679507
13;1;0.8970233848169046;379.54607935052104;117.2852279006717;1.206500053405762;4.994937896728516;-5.556567192077637;1;1.9093174779173483;-0.6704253622488846
14;1;0.9272457065923796;380.5196878722968;104.91880359993507;1.198062539100647;4.986500263214111;-5.870867729187012;1;1.2630288035971402;-0.6172502821972932
15;1;0.9326923515969736;381.1328725861274;25.943966430722;1.198062539100647;4.994937896728516;-5.636806488037109;1;1.2232744110788711;-0.5755619983310338
16;1;0.9389935833639744;379.6479206568422;108.68037129656815;1.189625024795532;4.999937534332275;-5.922024726867676;1;0.8374350354369204;-0.7176045566533142
17;2;1.2471165966056044;396.5915524313885;166.6810671625741;1.139000058174133;4.986500263214111;-6.225462913513184;2;-5.762410026002289;0.7368186293631308
18;3;1.3068959073433817;398.40947832697043;761.1604571977297;1.130562543869019;4.999937534332275;-6.322171211242676;2;-7.016526544609562;0.794023327447582
19;3;1.2851934050614542;394.15089021390474;218.35084157808438;1.138750076293945;4.994937896728516;-7.220572948455811;2;-6.225156548797217;0.7283345933799025
20;3;1.335181787169254;398.6783746354913;888.6971365901145;1.138125061988831;4.999937534332275;-6.331281185150146;2;-7.058245742911696;0.9282776654938779
21;3;1.3615897021189542;398.3820751465883;1067.511210952373;1.130562543869019;4.994937896728516;-6.525047302246094;2;-7.654382473389641;0.8981832186742172
22;3;1.291230187045159;393.23816039103605;368.64659180314754;1.147437572479248;4.978062629699707;-7.374744892120361;2;-5.9348973431567345;0.7635120856463957
23;3;1.3343204882671742;397.0570484520444;300.53447686197575;1.139000058174133;4.994937896728516;-6.563590049743652;2;-6.428997223964987;0.8976285589048304
24;3;1.3354553227780794;400.0889389877515;495.6032684201851;1.129999995231628;4.999937534332275;-6.275568962097168;2;-7.513884453671139;1.0852592933902274
25;3;1.3345080465753094;398.1073236668521;567.0201613473303;1.139000058174133;4.999937534332275;-6.702695369720459;2;-6.887092210390414;0.9927597941787801
26;3;1.3056404331935427;397.0248190908719;1145.734741179569;1.14537501335144;4.986500263214111;-6.603885173797607;2;-7.058712185311562;0.90974235529922
27;3;1.3364813191078837;397.2673820370627;371.2160951694614;1.147437572479248;4.999937534332275;-6.782584667205811;2;-6.085746442559973;0.9436669738914618
28;3;1.3458763161181377;398.75156492932854;457.64981234235313;1.137500047683716;4.999937534332275;-6.477744579315186;2;-7.024531341385141;1.0488384266236839
29;3;1.3115245800203705;398.222533902198;279.3571752555677;1.139000058174133;4.978062629699707;-6.561137676239014;2;-6.7386111098088515;1.0492725264236884
30;3;1.3392227053219563;399.190108854816;1293.961203181694;1.130562543869019;4.999937534332275;-6.2822265625;2;-7.498879969922552;0.8154097108901055
31;4;0.9204767060285678;378.38324112036616;77.78126280393023;1.206500053405762;4.994937896728516;-6.024338722229004;1;1.894316509127743;-0.7113324820643049
32;4;0.7389080549231178;440.1078738940747;123.36796276524541;1.198062539100647;4.994937896728516;-5.780116558074951;1;1.0547064083588213;0.18959715075170094
33;4;0.7284386538594589;438.10255879697667;182.182850845585;1.206500053405762;4.999937534332275;-5.971079349517822;1;1.6860448941754222;0.08387622174901045
34;4;0.7464537171707828;438.76552785930176;131.1867105234781;1.206187605857849;4.994937896728516;-6.086007595062256;1;1.5817629405269673;0.13036190771045836
35;4;0.7525665579080368;436.2971666712735;225.55661990137725;1.198062539100647;4.999937534332275;-6.630164623260498;1;0.8879063973750383;0.05526340560916303
36;4;0.7392570369683016;439.38810654752035;89.21008403360915;1.198062539100647;4.994937896728516;-5.860355854034424;1;1.1571571303219128;0.14482355580774148
37;4;0.7310044758524551;438.36610162689107;194.90951600870528;1.198062539100647;4.999937534332275;-6.117542743682861;1;1.0026691503265792;0.11021335804472836
